Id, StartDay, StartTime, EndDay, EndTime, TotalTime(s), TotalCapSize, Caplen (bytes), AvgRate, PeakRate
201102090210, Wed, 02:10:02, Wed, 03:10:01, 3599.94, 74.33MB, 1514, 172.99Kbps, 1.30Mbps
201102090310, Wed, 03:10:02, Wed, 04:10:02, 3599.67, 34.28MB, 1514, 79.87Kbps, 389.14Kbps
201102090410, Wed, 04:10:02, Wed, 05:10:02, 3600.05, 36.33MB, 1514, 84.64Kbps, 646.05Kbps
201102090510, Wed, 05:10:02, Wed, 06:10:01, 3599.93, 45.39MB, 1514, 107.13Kbps, 1.19Mbps
201102090610, Wed, 06:10:02, Wed, 07:10:02, 3599.90, 104.46MB, 1514, 244.29Kbps, 1.62Mbps
201102090710, Wed, 07:10:02, Wed, 08:10:02, 3599.98, 75.56MB, 1514, 176.94Kbps, 1.65Mbps
201102090810, Wed, 08:10:02, Wed, 09:10:02, 3599.99, 148.25MB, 1514, 345.46Kbps, 1.06Mbps
201102090910, Wed, 09:10:02, Wed, 10:10:01, 3599.98, 137.09MB, 1514, 319.47Kbps, 973.80Kbps
201102091010, Wed, 10:10:02, Wed, 10:49:14, 2352.20, 106.03MB, 1514, 379.52Kbps, 1.25Mbps
201102091055, Wed, 10:55:09, Wed, 11:55:08, 3599.70, 224.59MB, 1514, 523.47Kbps, 2.36Mbps
201102091155, Wed, 11:55:09, Wed, 12:55:08, 3599.98, 264.29MB, 1514, 616.03Kbps, 2.08Mbps
201102091255, Wed, 12:55:09, Wed, 13:55:08, 3599.92, 178.28MB, 1514, 415.42Kbps, 2.52Mbps
201102091355, Wed, 13:55:09, Wed, 14:55:08, 3599.94, 186.30MB, 1514, 434.00Kbps, 2.16Mbps
201102091455, Wed, 14:55:09, Wed, 15:55:09, 3600.02, 247.55MB, 1514, 576.79Kbps, 1.95Mbps
201102091555, Wed, 15:55:09, Wed, 16:55:09, 3599.98, 206.29MB, 1514, 480.68Kbps, 1.79Mbps
201102091655, Wed, 16:55:09, Wed, 17:55:09, 3599.99, 128.54MB, 1514, 299.50Kbps, 1.12Mbps
201102091755, Wed, 17:55:09, Wed, 18:55:09, 3600.00, 117.20MB, 1514, 273.11Kbps, 1.06Mbps
201102091855, Wed, 18:55:09, Wed, 19:55:09, 3599.98, 135.19MB, 1514, 315.02Kbps, 1.24Mbps
201102091955, Wed, 19:55:09, Wed, 20:55:08, 3599.96, 151.51MB, 1514, 353.02Kbps, 1.29Mbps
201102092055, Wed, 20:55:09, Wed, 21:55:09, 3600.00, 161.99MB, 1514, 377.48Kbps, 1.46Mbps
201102092155, Wed, 21:55:09, Wed, 22:55:09, 3600.03, 218.53MB, 1514, 509.25Kbps, 2.84Mbps
201102092255, Wed, 22:55:09, Wed, 23:55:09, 3599.99, 316.41MB, 1514, 739.84Kbps, 2.08Mbps
201102092355, Wed, 23:55:09, Thu, 00:55:08, 3599.98, 249.79MB, 1514, 582.52Kbps, 2.38Mbps
201102100055, Thu, 00:55:09, Thu, 01:55:08, 3599.95, 121.80MB, 1514, 286.49Kbps, 2.07Mbps
201102100155, Thu, 01:55:09, Thu, 02:55:08, 3599.74, 18.63MB, 1514, 45.21Kbps, 1.03Mbps
201102100255, Thu, 02:55:09, Thu, 03:55:07, 3598.20, 14.50MB, 1514, 35.44Kbps, 228.40Kbps
201102100355, Thu, 03:55:09, Thu, 04:55:08, 3599.38, 13.92MB, 1514, 38.48Kbps, 231.28Kbps
201102100455, Thu, 04:55:09, Thu, 05:55:08, 3599.45, 29.74MB, 1514, 78.23Kbps, 1.11Mbps
201102100555, Thu, 05:55:09, Thu, 06:55:08, 3599.81, 152.85MB, 1514, 357.50Kbps, 1.04Mbps
201102100655, Thu, 06:55:09, Thu, 07:55:09, 3599.99, 83.80MB, 1514, 196.05Kbps, 2.08Mbps
201102100755, Thu, 07:55:09, Thu, 08:55:08, 3599.97, 231.25MB, 1514, 538.81Kbps, 2.63Mbps
201102100855, Thu, 08:55:09, Thu, 09:55:09, 3599.99, 310.47MB, 1514, 723.43Kbps, 2.23Mbps
201102100955, Thu, 09:55:09, Thu, 10:55:08, 3599.99, 322.84MB, 1514, 752.27Kbps, 2.66Mbps
201102101055, Thu, 10:55:09, Thu, 11:55:09, 3599.98, 285.82MB, 1514, 665.98Kbps, 1.82Mbps
201102101155, Thu, 11:55:09, Thu, 12:55:09, 3599.98, 318.65MB, 1514, 742.47Kbps, 1.98Mbps
201102101255, Thu, 12:55:09, Thu, 13:55:08, 3599.99, 210.55MB, 1514, 490.65Kbps, 1.52Mbps
201102101355, Thu, 13:55:09, Thu, 14:55:08, 3599.99, 247.61MB, 1514, 576.97Kbps, 1.83Mbps
201102101455, Thu, 14:55:09, Thu, 15:55:09, 3599.99, 306.75MB, 1514, 714.86Kbps, 2.08Mbps
201102101555, Thu, 15:55:09, Thu, 16:55:08, 3599.96, 323.79MB, 1514, 754.59Kbps, 2.37Mbps
201102101655, Thu, 16:55:09, Thu, 17:55:09, 3600.00, 342.37MB, 1514, 797.91Kbps, 2.56Mbps
201102101755, Thu, 17:55:09, Thu, 18:55:08, 3599.92, 248.29MB, 1514, 578.70Kbps, 1.71Mbps
201102101855, Thu, 18:55:09, Thu, 19:55:09, 3600.01, 295.72MB, 1514, 689.15Kbps, 2.11Mbps
201102101955, Thu, 19:55:09, Thu, 20:55:09, 3599.98, 242.19MB, 1514, 564.36Kbps, 1.93Mbps
201102102055, Thu, 20:55:09, Thu, 21:55:09, 3599.94, 246.28MB, 1514, 573.90Kbps, 2.10Mbps
201102102155, Thu, 21:55:09, Thu, 22:55:09, 3599.98, 232.27MB, 1514, 541.50Kbps, 1.76Mbps
201102102255, Thu, 22:55:09, Thu, 23:55:08, 3599.97, 236.15MB, 1514, 551.38Kbps, 2.38Mbps
201102102355, Thu, 23:55:09, Fri, 00:55:08, 3599.30, 119.74MB, 1514, 290.40Kbps, 1.99Mbps
201102110055, Fri, 00:55:09, Fri, 01:55:08, 3599.29, 58.34MB, 1514, 145.20Kbps, 1.17Mbps
201102110155, Fri, 01:55:09, Fri, 02:55:08, 3599.71, 31.30MB, 1514, 80.54Kbps, 953.93Kbps
201102110255, Fri, 02:55:09, Fri, 03:55:08, 3598.73, 27.27MB, 1514, 87.14Kbps, 956.30Kbps
201102110355, Fri, 03:55:09, Fri, 04:55:08, 3599.61, 17.91MB, 1514, 48.02Kbps, 216.52Kbps
201102110455, Fri, 04:55:09, Fri, 05:55:06, 3597.60, 25.56MB, 1514, 65.86Kbps, 800.07Kbps
201102110555, Fri, 05:55:09, Fri, 06:55:08, 3599.66, 81.30MB, 1514, 191.74Kbps, 1.32Mbps
201102110655, Fri, 06:55:09, Fri, 07:55:09, 3599.98, 119.88MB, 1514, 279.53Kbps, 1.76Mbps
201102110755, Fri, 07:55:09, Fri, 08:55:08, 3599.98, 153.84MB, 1514, 358.46Kbps, 1.25Mbps
201102110855, Fri, 08:55:09, Fri, 09:55:09, 3600.13, 157.13MB, 1514, 367.46Kbps, 877.66Kbps
201102110955, Fri, 09:55:09, Fri, 10:55:09, 3599.96, 148.26MB, 1514, 345.46Kbps, 820.99Kbps
201102111055, Fri, 10:55:09, Fri, 11:55:09, 3599.98, 251.10MB, 1514, 585.18Kbps, 1.55Mbps
201102111155, Fri, 11:55:09, Fri, 12:55:09, 3600.00, 334.58MB, 1514, 779.62Kbps, 2.79Mbps
201102111255, Fri, 12:55:09, Fri, 13:55:08, 3599.95, 299.53MB, 1514, 698.06Kbps, 2.34Mbps
201102111355, Fri, 13:55:09, Fri, 14:55:08, 3599.92, 241.97MB, 1514, 563.87Kbps, 1.83Mbps
201102111455, Fri, 14:55:09, Fri, 15:55:09, 3600.00, 239.42MB, 1514, 557.94Kbps, 2.32Mbps
201102111555, Fri, 15:55:09, Fri, 16:55:08, 3599.99, 185.07MB, 1514, 452.14Kbps, 1.67Mbps
201102111655, Fri, 16:55:09, Fri, 17:55:09, 3600.02, 231.24MB, 1514, 538.84Kbps, 2.36Mbps
201102111755, Fri, 17:55:09, Fri, 18:55:08, 3599.95, 40.77MB, 1514, 95.03Kbps, 940.51Kbps
201102111855, Fri, 18:55:09, Fri, 19:55:09, 3599.98, 64.30MB, 1514, 149.95Kbps, 1.50Mbps
201102111955, Fri, 19:55:09, Fri, 20:55:09, 3600.06, 106.12MB, 1514, 247.31Kbps, 1.89Mbps
201102112055, Fri, 20:55:09, Fri, 21:55:09, 3599.96, 79.80MB, 1514, 185.95Kbps, 1.52Mbps
201102112155, Fri, 21:55:09, Fri, 22:55:09, 3599.96, 236.07MB, 1514, 550.04Kbps, 2.06Mbps
201102112255, Fri, 22:55:09, Fri, 23:55:08, 3599.95, 141.34MB, 1514, 330.57Kbps, 1.71Mbps
201102112355, Fri, 23:55:09, Sat, 00:55:08, 3599.82, 141.43MB, 1514, 332.47Kbps, 1.54Mbps
201102120055, Sat, 00:55:09, Sat, 01:55:08, 3599.87, 216.04MB, 1514, 505.92Kbps, 1.75Mbps
201102120155, Sat, 01:55:09, Sat, 02:55:09, 3600.07, 160.15MB, 1514, 380.94Kbps, 1.41Mbps
201102120255, Sat, 02:55:09, Sat, 03:55:09, 3600.05, 34.04MB, 1514, 104.33Kbps, 1.13Mbps
201102120355, Sat, 03:55:09, Sat, 04:55:08, 3599.77, 15.74MB, 1514, 46.60Kbps, 783.58Kbps
201102120455, Sat, 04:55:09, Sat, 05:55:07, 3597.97, 17.92MB, 1514, 49.68Kbps, 916.20Kbps
201102120555, Sat, 05:55:09, Sat, 06:55:08, 3599.76, 34.81MB, 1514, 84.06Kbps, 1.00Mbps
201102120655, Sat, 06:55:09, Sat, 07:55:09, 3599.98, 67.91MB, 1514, 162.16Kbps, 973.69Kbps
201102120755, Sat, 07:55:09, Sat, 08:55:09, 3599.95, 135.43MB, 1514, 318.26Kbps, 1.93Mbps
201102120855, Sat, 08:55:09, Sat, 09:55:09, 3600.01, 255.19MB, 1514, 594.75Kbps, 1.82Mbps
201102120955, Sat, 09:55:09, Sat, 10:55:09, 3600.08, 110.34MB, 1514, 257.28Kbps, 1.10Mbps
201102121055, Sat, 10:55:09, Sat, 11:55:09, 3599.96, 170.53MB, 1514, 397.60Kbps, 1.63Mbps
201102121155, Sat, 11:55:09, Sat, 12:55:08, 3599.96, 156.64MB, 1514, 365.11Kbps, 1.65Mbps
201102121255, Sat, 12:55:09, Sat, 13:55:08, 3599.92, 213.17MB, 1514, 496.71Kbps, 2.03Mbps
201102121355, Sat, 13:55:09, Sat, 14:55:08, 3599.64, 48.58MB, 1514, 113.24Kbps, 2.05Mbps
201102121455, Sat, 14:55:09, Sat, 15:55:09, 3599.84, 36.66MB, 1514, 85.43Kbps, 1.18Mbps
201102121555, Sat, 15:55:09, Sat, 16:55:08, 3599.86, 41.81MB, 1514, 97.55Kbps, 1.20Mbps
201102121655, Sat, 16:55:09, Sat, 17:55:08, 3599.78, 48.70MB, 1514, 113.83Kbps, 931.63Kbps
201102121755, Sat, 17:55:09, Sat, 18:55:08, 3599.84, 94.09MB, 1514, 219.75Kbps, 1.16Mbps
201102121855, Sat, 18:55:09, Sat, 19:55:08, 3599.90, 76.95MB, 1514, 181.33Kbps, 1.79Mbps
201102121955, Sat, 19:55:09, Sat, 20:55:08, 3599.06, 102.99MB, 1514, 243.37Kbps, 1.42Mbps
201102122055, Sat, 20:55:09, Sat, 21:55:09, 3599.40, 76.15MB, 1514, 180.18Kbps, 1.14Mbps
201102122155, Sat, 21:55:09, Sat, 22:55:09, 3599.98, 184.40MB, 1514, 429.86Kbps, 2.10Mbps
201102122255, Sat, 22:55:09, Sat, 23:55:09, 3599.98, 227.32MB, 1514, 530.07Kbps, 1.72Mbps
201102122355, Sat, 23:55:09, Sun, 00:55:07, 3598.24, 284.06MB, 1514, 667.27Kbps, 1.74Mbps
201102130055, Sun, 00:55:09, Sun, 01:55:08, 3599.49, 46.07MB, 1514, 126.00Kbps, 1.20Mbps
201102130155, Sun, 01:55:09, Sun, 02:55:08, 3599.34, 21.67MB, 1514, 58.68Kbps, 414.42Kbps
201102130255, Sun, 02:55:09, Sun, 03:55:08, 3599.37, 32.52MB, 1514, 78.09Kbps, 947.53Kbps
201102130355, Sun, 03:55:09, Sun, 04:55:09, 3599.90, 40.30MB, 1514, 96.64Kbps, 1.18Mbps
201102130455, Sun, 04:55:09, Sun, 05:55:08, 3599.80, 65.35MB, 1514, 153.13Kbps, 1.25Mbps
201102130555, Sun, 05:55:09, Sun, 06:55:08, 3599.98, 56.09MB, 1514, 131.16Kbps, 1.23Mbps
